Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
3399.22,183.68,34.81,-35.59
3403.48,183.64,34.81,-35.63
3407.41,183.61,34.81,-35.67
3411.92,183.58,34.81,-35.7
3417.38,183.54,34.81,-35.73
3423.41,183.51,34.81,-35.77
3426.54,183.67,34.81,-35.8
3429.8,183.84,34.97,-35.8
3433.11,184.02,35.14,-35.8
3436.41,184.2,35.32,-35.8
3439.66,184.38,35.5,-35.8
3442.85,184.56,35.68,-35.8
3445.94,184.73,35.86,-35.8
3448.97,184.91,36.03,-35.8
3454.78,185.26,36.21,-35.8
3460.24,185.59,36.56,-35.8
3465.43,185.89,36.89,-35.8
3470.96,186.17,37.19,-35.8
3474.02,186.32,37.47,-35.8
3477.48,186.49,37.62,-35.8
3481.2,186.68,37.79,-35.8
3485.09,186.9,37.98,-35.8
3488.9,187.13,38.2,-35.8
3492.38,187.36,38.43,-35.8
3497.69,187.76,38.66,-35.8
3501.46,188.04,39.06,-35.8
3506.23,188.2,39.34,-35.8
3509.29,188.24,39.5,-35.8
3512.72,188.27,39.54,-35.8
3516.32,188.28,39.57,-35.8
3520.11,188.29,39.58,-35.8
3524.04,188.18,39.59,-35.8
3528.16,187.96,39.59,-35.91
3532.39,187.75,39.59,-36.13
3536.66,187.52,39.59,-36.34
3540.81,187.31,39.59,-36.57
3544.69,187.11,39.59,-36.78
3548.23,186.92,39.59,-36.98
3551.51,186.76,39.59,-37.17
3557.22,186.47,39.59,-37.33
3562.2,186.23,39.59,-37.62
3566.14,186.06,39.59,-37.86
3570.14,185.93,39.59,-38.03
3574.13,185.85,39.59,-38.16
3577.68,185.74,39.59,-38.24
3580.71,185.6,39.59,-38.35
3584.46,185.41,39.59,-38.49
3588.77,185.19,39.59,-38.68
3592.87,184.98,39.59,-38.9
